feature,category,w_grabmyo_vs_impaired,w_grabmyo_vs_healthy_arm,stroke_specific_shift,mean_grabmyo,std_grabmyo,mean_impaired,std_impaired,mean_healthy_arm,std_healthy_arm
ch4_ch13_env_rms_ratio_delta,temporal (ch13_env_rms_ratio),0.6198773141752224,0.5919406378897899,0.027936676285432505,-0.00928601436316967,0.9930403232574463,-0.010880149900913239,0.9068140387535095,-0.008050942793488503,1.0558655261993408
ch0_ch9_env_rms_ratio_delta,temporal (ch9_env_rms_ratio),0.6036154100863163,0.599040468852643,0.004574941233673302,-0.00048229980166070163,1.0020891427993774,0.0005154890823177993,0.9808132648468018,0.00332295848056674,1.0287823677062988
ch4_ch13_rms_ratio_delta,temporal (ch13_rms_ratio),0.588538064420641,0.5488341653376717,0.03970389908296934,-0.008801361545920372,0.9923893809318542,-0.009508020244538784,0.9026206731796265,-0.005860107019543648,1.0575600862503052
ch0_ch13_env_rms_ratio_delta,temporal (ch13_env_rms_ratio),0.5813851062473647,0.5341209651538634,0.0472641410935013,-0.014263755641877651,0.9967831969261169,-0.0010626830626279116,0.9311697483062744,-0.004165902268141508,1.1359306573867798
ch4_ch13_mav_ratio_delta,temporal (ch13_mav_ratio),0.5812021364451464,0.5473243987788246,0.03387773766632185,-0.009244478307664394,0.9923530220985413,-0.010536802001297474,0.9168645143508911,-0.0078050727024674416,1.082310676574707
ch13_env_rms_accel,temporal (env_rms),0.5805339296962917,0.5203209704825106,0.060212959213781114,0.007569615263491869,1.0087590217590332,-0.008437848649919033,0.8204816579818726,0.0009335657814517617,1.3222640752792358
ch0_ch9_rms_ratio_delta,temporal (ch9_rms_ratio),0.572681815385284,0.5608645104519792,0.011817304933304795,0.00018210550479125232,1.0021727085113525,0.002922818996012211,0.9793180823326111,0.0027865422889590263,1.0247186422348022
ch13_wl_accel,temporal (wl),0.5659806538210409,0.4938254751605839,0.07215517866045701,0.004658473189920187,1.0111008882522583,-0.006493974011391401,0.8328638076782227,0.004700603429228067,1.3441033363342285
ch0_ch9_mav_ratio_delta,temporal (ch9_mav_ratio),0.5631437720295291,0.5550775786226636,0.00806619340686554,-0.0001904530799947679,1.0025933980941772,0.0010490919230505824,0.9877197742462158,0.002122496021911502,1.0430575609207153
ch4_env_rms_accel,temporal (env_rms),0.5551618820103771,0.488621104212305,0.0665407777980721,0.00018967317009810358,1.0183794498443604,-0.007320471107959747,0.8361135721206665,0.004831455182284117,1.330697774887085
ch0_env_rms_accel,temporal (env_rms),0.5521564053560563,0.4783255223714746,0.07383088298458168,-0.002049974864348769,1.012084722518921,-0.005082653369754553,0.8410739302635193,0.00427175173535943,1.3706387281417847
ch0_ch13_rms_ratio_delta,temporal (ch13_rms_ratio),0.5496034076345155,0.4891459321808531,0.060457475453662424,-0.014075693674385548,0.9969572424888611,-8.028297452256083e-05,0.9237034320831299,-0.005142453126609325,1.1378134489059448
ch0_ch4_env_rms_ratio_delta,temporal (ch4_env_rms_ratio),0.5451310642993291,0.49229659759252387,0.05283446670680525,-0.007174977567046881,1.000929355621338,0.000530419172719121,0.9021175503730774,-0.0008996236138045788,1.0749222040176392
ch13_wl_delta,temporal (wl),0.5450919683805192,0.4211720109798781,0.1239199574006411,0.004583338275551796,1.004719614982605,-0.016533512622117996,0.8208138942718506,0.025174472481012344,1.3301082849502563
ch13_env_rms_delta,temporal (env_rms),0.5383702944849508,0.4196253738043218,0.11874492068062897,0.007431324105709791,1.0039180517196655,-0.018305113539099693,0.8386082053184509,0.018672533333301544,1.3030569553375244
ch0_ch13_mav_ratio_delta,temporal (ch13_mav_ratio),0.5381125932634574,0.48082316433091843,0.057289428932538966,-0.014255081303417683,0.9964857697486877,0.0009160886402241886,0.9189194440841675,-0.003528909059241414,1.1612873077392578
