cal_per_gesture,cal_total_ms,participant,session,arm,n_cal,n_test,acc,f1_macro,f1_rest,f1_close,f1_open
12,7200,patient1,healthy_01,healthy,144,117,1.0,1.0,1.0,1.0,1.0
12,7200,patient1,healthy_02,healthy,144,117,0.7606837606837606,0.7252830188679246,1.0,0.7358490566037735,0.44000000000000006
12,7200,patient1,impaired_01,impaired,144,117,0.7948717948717948,0.7771428571428571,1.0,0.76,0.5714285714285713
12,7200,patient1,impaired_02,impaired,144,117,0.7350427350427351,0.7372480833839875,0.6779661016949152,0.7155963302752294,0.8181818181818181
12,7200,patient1,impaired_03,impaired,144,117,0.8803418803418803,0.8763586956521738,1.0,0.8478260869565216,0.7812500000000001
12,7200,patient1,impaired_04,impaired,144,117,0.811965811965812,0.7957142857142857,1.0,0.78,0.6071428571428571
12,7200,patient1,impaired_05,impaired,144,117,0.905982905982906,0.9040751299681368,1.0,0.8764044943820225,0.835820895522388
12,7200,patient1,impaired_06,impaired,144,117,0.8717948717948718,0.8668714797747056,1.0,0.8387096774193548,0.761904761904762
12,7200,patient2,healthy_01,healthy,144,117,0.7606837606837606,0.7344660019887264,0.9873417721518987,0.7254901960784315,0.4905660377358491
12,7200,patient2,healthy_02,healthy,144,117,0.8034188034188035,0.7958696023212152,1.0,0.7526881720430108,0.6349206349206349
12,7200,patient2,impaired_01,impaired,144,117,0.8461538461538461,0.8410326086956522,1.0,0.8043478260869565,0.71875
12,7200,patient2,impaired_02,impaired,144,117,0.8034188034188035,0.7937411116011709,0.9397590361445783,0.7640449438202247,0.6774193548387096
12,7200,patient2,impaired_03,impaired,144,117,0.8717948717948718,0.8681318681318682,1.0,0.8351648351648352,0.7692307692307693
12,7200,patient2,impaired_04,impaired,144,117,0.8888888888888888,0.8871867648238956,0.962962962962963,0.8607594936708861,0.8378378378378378
12,7200,patient2,impaired_05,impaired,144,117,0.7948717948717948,0.7734204793028322,1.0,0.7647058823529412,0.5555555555555556
