participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,calib_protocol,n_dropped_onset,n_dropped_outlier,seed,fast
participant1,1112202,1200,25281,0.9842173964637475,0.9785885322952019,0.988370713183814,0.9836119152649009,0.004153316720066469,190.0943479537964,186.56403303146362,100.0,1200,random_stratified,0,0,42,True
participant10,1112202,1200,25281,0.9690676792848384,0.9617971054706932,0.9732209960049049,0.9587264337707119,0.004153316720066469,191.73132705688477,183.9722981452942,100.0,1200,random_stratified,0,0,42,True
participant11,1112202,1200,25281,0.9154701158973142,0.9104060856764726,0.9576361694553222,0.9642339017514621,0.042166053558007954,180.56192994117737,190.48473381996155,100.0,1200,random_stratified,0,0,42,True
participant12,1112202,1200,25281,0.9548277362446106,0.9570506790418802,0.9701752304101895,0.9690597030230124,0.015347494165578901,185.98067998886108,182.8660910129547,100.0,1200,random_stratified,0,0,42,True
participant13,1112202,1200,25281,0.9644792531940983,0.9601981861096905,0.9786796408369922,0.974750663769747,0.014200387642893886,183.5572259426117,190.25727796554565,100.0,1200,random_stratified,0,0,42,True
participant14,1112202,1200,25281,0.9183972153000277,0.9103305252056167,0.9506348641272102,0.9377069481732742,0.0322376488271825,189.51541900634766,186.21352410316467,100.0,1200,random_stratified,0,0,42,True
participant15,1112202,1200,25281,0.90874569835054,0.9058957748979894,0.9386100233376844,0.9354800803611502,0.02986432498714442,184.43017196655273,188.55706429481506,100.0,1200,random_stratified,0,0,42,True
participant16,1112202,1200,25281,0.9854040583837664,0.9885607694061624,0.9911000355998576,0.9929703792136874,0.005695977216091164,182.00131487846375,188.6286699771881,100.0,1200,random_stratified,0,0,42,True
participant17,1112202,1200,25281,0.9488153158498477,0.9603520679616198,0.9913769233811953,0.9920405533150253,0.042561607531347634,192.17258882522583,189.94599795341492,100.0,1200,random_stratified,0,0,42,True
participant18,1112202,1200,25281,0.9833471777224002,0.9756596845731176,0.9853249475890985,0.9779377155424122,0.001977769866698287,201.50714087486267,200.13994908332825,100.0,1200,random_stratified,0,0,42,True
